SquareFeet,Bedrooms,Bathrooms,Age,LocationScore,Price
1660,2,2,21,2,444940.29061046155
4572,5,4,39,4,1070356.7701695948
3892,1,2,20,3,785207.7375621184
1266,1,4,37,2,384012.9334090869
4244,1,4,19,1,824548.5576586917
3971,1,4,28,1,752652.569311577
3719,1,2,3,5,900457.1969280123
930,5,4,6,4,557642.4534100328
2485,3,3,27,5,754610.8554233235
1569,2,1,27,5,534134.629152765
3191,1,1,3,5,794928.1417445085
3233,3,4,21,1,661082.9604364892
1984,3,1,11,1,471796.55762757023
4185,2,2,44,5,920292.9013442729
4917,5,2,2,1,1009639.9177482022
3704,4,1,21,4,894261.1102914676
1274,4,2,43,5,566100.0647294912
1882,3,1,1,1,492115.0934073907
3358,2,1,23,2,674466.2521876275
2847,4,1,33,5,813260.4479687334
3547,3,4,26,5,942032.8734639058
1775,5,1,40,4,595701.6706917158
2606,4,4,0,3,764934.3022077442
989,3,1,7,3,402755.5973138255
3534,3,1,22,4,818732.2875770848
3805,1,1,37,4,797621.1541514045
2699,5,2,5,4,782915.3343790398
2067,1,4,21,3,555201.6353585962
2328,2,4,24,4,695546.2460064299
4002,1,1,17,1,717417.1839944525
4356,1,1,16,5,960687.5745253531
4690,4,2,11,5,1094944.7295037948
1446,3,2,5,2,435590.95049177227
3688,5,2,25,2,833250.8603758713
3235,1,4,26,5,802566.1753687033
1400,5,4,7,1,493970.48930871795
3163,1,4,18,3,717925.2744175078
2861,2,1,41,3,670959.1399884621
1041,1,4,0,1,361820.44083262084
2841,4,3,28,3,738736.3068690723
3624,3,3,44,4,877555.60016482
3412,2,2,48,5,812105.260338014
2163,1,4,34,5,670602.1906800513
2278,5,3,39,1,579697.1565057808
3356,2,2,13,3,765360.301220005
1575,2,4,34,2,483335.3025016015
4814,1,1,47,2,869087.3815416971
834,2,3,44,3,374430.8549423753
3952,5,1,19,2,831976.6884565755
2755,2,4,48,1,567849.305570808
2385,5,3,12,1,617909.3659960642
4743,1,4,37,3,957850.5856141498
3873,3,1,48,2,748996.9441298911
1821,2,3,45,1,463325.1501336763
4261,3,1,48,1,801895.9108288035
3413,5,4,7,4,940981.7748058873
4643,2,4,42,4,1007530.5529192562
2300,4,1,19,1,535816.8654514827
961,3,3,32,3,411871.2230996665
2781,2,1,25,5,736312.2077777829
1795,3,4,38,5,657116.2881021412
4142,2,1,20,1,745673.5913677757
4598,1,4,48,1,838712.6462586735
2075,3,1,41,1,455921.11426762876
1816,4,3,42,3,540782.8866318391
1137,4,3,40,4,501644.2248383075
1678,5,1,8,1,475495.9169986753
1876,2,1,23,1,449715.31486010284
4793,3,3,36,2,960298.2968680063
1179,5,4,48,3,490817.7764635016
1292,3,3,40,1,385090.5443412645
2862,2,4,16,2,652090.4401659245
4684,4,1,23,5,1088840.365808306
864,1,1,20,1,240533.13022273182
3368,4,4,38,1,732795.4571689124
2827,5,1,40,2,686936.9497131328
3495,1,4,38,3,748942.5464712363
2295,5,2,12,1,567293.2272233051
1191,2,3,10,5,538896.0101048099
4361,1,2,45,1,780725.6827652898
3078,5,4,18,5,892909.8088678473
3899,2,3,10,4,866367.6660283415
1000,4,4,12,4,533232.617123865
3904,2,3,45,5,927876.1119986637
3254,3,3,44,3,776103.9262460824
4445,2,3,0,1,858802.579568719
1604,2,3,39,1,394428.60089326
3531,3,4,43,4,880958.5110138363
3573,5,3,18,5,943903.8745045686
2370,5,3,11,1,612672.1883722548
3490,2,2,7,1,700356.3583488759
4640,3,1,7,3,973738.2808192755
1828,3,1,44,2,455552.89960213675
1302,4,2,11,4,550816.6151755876
1670,5,2,47,4,557175.0896988051
1006,1,4,32,2,346026.2738149923
2284,5,4,44,1,597402.630688317
1663,5,4,25,3,591715.5894861798
3590,4,2,38,3,822384.763323844
1363,1,2,27,4,475153.08751204045
4991,4,3,4,3,1078511.7619871334
2557,1,4,7,2,616106.9565649485
2478,2,4,24,1,550259.0115207308
4042,1,4,26,2,814200.8308045593
1859,4,1,45,5,636003.2425438383
2522,5,3,22,4,767654.5944145265
4114,1,4,29,3,861302.030956541
3957,1,4,44,5,924913.2460643619
3425,3,4,46,3,810469.1468595492
3529,5,1,22,1,714600.8808213378
2397,2,1,48,1,491936.1109743385
3860,4,2,46,1,758956.1789197839
3493,2,3,19,3,800332.3489986034
4427,5,2,17,5,1101008.7038546784
2163,1,3,17,1,460874.89454154304
2781,1,1,1,5,723508.3849635868
2463,5,4,3,3,744121.7695618644
2329,1,2,29,5,644593.6971831336
2838,1,4,32,3,701724.0486375522
4102,1,2,35,3,813448.418592598
3037,4,1,17,4,778216.798307697
2106,4,1,36,3,585965.8354740447
4829,3,1,18,3,966317.7571088587
3475,2,2,46,2,695314.789323656
2082,5,3,27,1,564061.7989187526
1509,5,2,39,4,573357.0939342623
4548,5,3,19,4,1070799.1971165007
1463,3,2,48,4,504510.0183132744
2798,4,2,32,2,640982.9453622885
4245,3,1,11,3,908573.8981700885
4543,5,4,14,1,985773.9960747086
2295,2,4,40,5,701526.0244617516
4104,1,3,38,3,844978.9617587132
4563,4,4,1,2,1005840.8413267529
2653,4,2,28,3,671910.0425517996
2091,3,2,40,3,595187.719871944
4381,4,1,9,2,909184.931946342
4257,5,1,1,4,1035027.8534863367
2436,5,4,10,4,771404.5050671402
4496,3,3,12,1,913670.9288383673
3799,5,4,9,1,864477.3324105218
3952,2,4,13,4,940095.6012877853
1498,3,4,17,5,633210.3668152972
2960,2,4,8,3,739272.0707288833
4897,1,2,38,5,1050557.9748771081
1654,2,3,27,3,512205.3980477207
4274,1,2,2,4,900593.9544461927
2507,1,3,19,1,514292.20307439496
